app,piece_style,previous_glyph,kind,sequence,classification_status,source_image,style_image,source_label,style_label,label_status
ぴよ将棋,一文字駒,一文字,初期配置,01,推定,tools\samples\screenshots_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_初期配置_01.png,tools\samples\screenshots_by_app_piece_style\ぴよ将棋\一文字駒\ぴよ将棋_一文字駒_初期配置_01.png,,tools\samples\labels\boards_by_app_piece_style\ぴよ将棋\一文字駒\ぴよ将棋_一文字駒_初期配置_01.json,暗黙の初期配置
ぴよ将棋,ひよこ駒,一文字,初期配置,01,推定,tools\samples\screenshots_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_初期配置_02.png,tools\samples\screenshots_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_初期配置_01.png,,tools\samples\labels\boards_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_初期配置_01.json,暗黙の初期配置
ぴよ将棋,昇竜一文字,一文字,初期配置,01,推定,tools\samples\screenshots_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_初期配置_03.png,tools\samples\screenshots_by_app_piece_style\ぴよ将棋\昇竜一文字\ぴよ将棋_昇竜一文字_初期配置_01.png,,tools\samples\labels\boards_by_app_piece_style\ぴよ将棋\昇竜一文字\ぴよ将棋_昇竜一文字_初期配置_01.json,暗黙の初期配置
ぴよ将棋,風波一文字,一文字,初期配置,01,推定,tools\samples\screenshots_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_初期配置_04.png,tools\samples\screenshots_by_app_piece_style\ぴよ将棋\風波一文字\ぴよ将棋_風波一文字_初期配置_01.png,,tools\samples\labels\boards_by_app_piece_style\ぴよ将棋\風波一文字\ぴよ将棋_風波一文字_初期配置_01.json,暗黙の初期配置
ぴよ将棋,ひよこ駒,一文字,通常,01,推定,tools\samples\screenshots_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_01.png,tools\samples\screenshots_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_01.png,tools\samples\labels\boards_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_01.json,tools\samples\labels\boards_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_01.json,教師ラベルあり
ぴよ将棋,ひよこ駒,一文字,通常,02,推定,tools\samples\screenshots_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_02.png,tools\samples\screenshots_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_02.png,tools\samples\labels\boards_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_02.json,tools\samples\labels\boards_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_02.json,教師ラベルあり
ぴよ将棋,ひよこ駒,一文字,通常,03,推定,tools\samples\screenshots_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_03.png,tools\samples\screenshots_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_03.png,tools\samples\labels\boards_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_03.json,tools\samples\labels\boards_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_03.json,教師ラベルあり
ぴよ将棋,ひよこ駒,一文字,通常,04,推定,tools\samples\screenshots_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_04.png,tools\samples\screenshots_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_04.png,tools\samples\labels\boards_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_04.json,tools\samples\labels\boards_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_04.json,教師ラベルあり
ぴよ将棋,ひよこ駒,一文字,通常,05,推定,tools\samples\screenshots_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_05.png,tools\samples\screenshots_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_05.png,tools\samples\labels\boards_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_05.json,tools\samples\labels\boards_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_05.json,教師ラベルあり
ぴよ将棋,ひよこ駒,一文字,通常,06,推定,tools\samples\screenshots_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_06.png,tools\samples\screenshots_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_06.png,tools\samples\labels\boards_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_06.json,tools\samples\labels\boards_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_06.json,教師ラベルあり
ぴよ将棋,ひよこ駒,一文字,通常,07,推定,tools\samples\screenshots_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_07.png,tools\samples\screenshots_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_07.png,tools\samples\labels\boards_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_07.json,tools\samples\labels\boards_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_07.json,教師ラベルあり
ぴよ将棋,ひよこ駒,一文字,通常,08,推定,tools\samples\screenshots_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_08.png,tools\samples\screenshots_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_08.png,tools\samples\labels\boards_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_08.json,tools\samples\labels\boards_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_08.json,教師ラベルあり
ぴよ将棋,ひよこ駒,一文字,通常,09,推定,tools\samples\screenshots_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_09.png,tools\samples\screenshots_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_09.png,tools\samples\labels\boards_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_09.json,tools\samples\labels\boards_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_09.json,教師ラベルあり
ぴよ将棋,ひよこ駒,一文字,通常,10,推定,tools\samples\screenshots_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_10.png,tools\samples\screenshots_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_10.png,tools\samples\labels\boards_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_10.json,tools\samples\labels\boards_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_10.json,教師ラベルあり
ぴよ将棋,ひよこ駒,一文字,通常,11,推定,tools\samples\screenshots_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_11.png,tools\samples\screenshots_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_11.png,tools\samples\labels\boards_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_11.json,tools\samples\labels\boards_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_11.json,教師ラベルあり
ぴよ将棋,ひよこ駒,一文字,通常,12,推定,tools\samples\screenshots_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_12.png,tools\samples\screenshots_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_12.png,tools\samples\labels\boards_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_12.json,tools\samples\labels\boards_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_12.json,教師ラベルあり
ぴよ将棋,ひよこ駒,一文字,通常,13,推定,tools\samples\screenshots_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_13.png,tools\samples\screenshots_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_13.png,tools\samples\labels\boards_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_13.json,tools\samples\labels\boards_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_13.json,教師ラベルあり
ぴよ将棋,ひよこ駒,一文字,通常,14,推定,tools\samples\screenshots_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_14.png,tools\samples\screenshots_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_14.png,tools\samples\labels\boards_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_14.json,tools\samples\labels\boards_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_14.json,教師ラベルあり
ぴよ将棋,ひよこ駒,一文字,通常,15,推定,tools\samples\screenshots_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_15.png,tools\samples\screenshots_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_15.png,tools\samples\labels\boards_by_app_glyph\ぴよ将棋\一文字\ぴよ将棋_一文字_通常_15.json,tools\samples\labels\boards_by_app_piece_style\ぴよ将棋\ひよこ駒\ぴよ将棋_ひよこ駒_通常_15.json,教師ラベルあり
ぴよ将棋,二文字駒,二文字,初期配置,01,推定,tools\samples\screenshots_by_app_glyph\ぴよ将棋\二文字\ぴよ将棋_二文字_初期配置_01.png,tools\samples\screenshots_by_app_piece_style\ぴよ将棋\二文字駒\ぴよ将棋_二文字駒_初期配置_01.png,,tools\samples\labels\boards_by_app_piece_style\ぴよ将棋\二文字駒\ぴよ将棋_二文字駒_初期配置_01.json,暗黙の初期配置
ぴよ将棋,太文字駒,二文字,初期配置,01,推定,tools\samples\screenshots_by_app_glyph\ぴよ将棋\二文字\ぴよ将棋_二文字_初期配置_02.png,tools\samples\screenshots_by_app_piece_style\ぴよ将棋\太文字駒\ぴよ将棋_太文字駒_初期配置_01.png,,tools\samples\labels\boards_by_app_piece_style\ぴよ将棋\太文字駒\ぴよ将棋_太文字駒_初期配置_01.json,暗黙の初期配置
ぴよ将棋,昇竜,二文字,初期配置,01,推定,tools\samples\screenshots_by_app_glyph\ぴよ将棋\二文字\ぴよ将棋_二文字_初期配置_03.png,tools\samples\screenshots_by_app_piece_style\ぴよ将棋\昇竜\ぴよ将棋_昇竜_初期配置_01.png,,tools\samples\labels\boards_by_app_piece_style\ぴよ将棋\昇竜\ぴよ将棋_昇竜_初期配置_01.json,暗黙の初期配置
将棋ウォーズ,一文字,一文字,初期配置,01,確定,tools\samples\screenshots_by_app_glyph\将棋ウォーズ\一文字\将棋ウォーズ_一文字_初期配置_01.png,tools\samples\screenshots_by_app_piece_style\将棋ウォーズ\一文字\将棋ウォーズ_一文字_初期配置_01.png,,tools\samples\labels\boards_by_app_piece_style\将棋ウォーズ\一文字\将棋ウォーズ_一文字_初期配置_01.json,暗黙の初期配置
将棋ウォーズ,一文字,一文字,通常,01,確定,tools\samples\screenshots_by_app_glyph\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_01.png,tools\samples\screenshots_by_app_piece_style\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_01.png,tools\samples\labels\boards_by_app_glyph\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_01.json,tools\samples\labels\boards_by_app_piece_style\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_01.json,教師ラベルあり
将棋ウォーズ,一文字,一文字,通常,02,確定,tools\samples\screenshots_by_app_glyph\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_02.png,tools\samples\screenshots_by_app_piece_style\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_02.png,tools\samples\labels\boards_by_app_glyph\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_02.json,tools\samples\labels\boards_by_app_piece_style\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_02.json,教師ラベルあり
将棋ウォーズ,一文字,一文字,通常,03,確定,tools\samples\screenshots_by_app_glyph\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_03.png,tools\samples\screenshots_by_app_piece_style\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_03.png,tools\samples\labels\boards_by_app_glyph\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_03.json,tools\samples\labels\boards_by_app_piece_style\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_03.json,教師ラベルあり
将棋ウォーズ,一文字,一文字,通常,04,確定,tools\samples\screenshots_by_app_glyph\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_04.png,tools\samples\screenshots_by_app_piece_style\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_04.png,tools\samples\labels\boards_by_app_glyph\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_04.json,tools\samples\labels\boards_by_app_piece_style\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_04.json,教師ラベルあり
将棋ウォーズ,一文字,一文字,通常,05,確定,tools\samples\screenshots_by_app_glyph\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_05.png,tools\samples\screenshots_by_app_piece_style\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_05.png,tools\samples\labels\boards_by_app_glyph\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_05.json,tools\samples\labels\boards_by_app_piece_style\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_05.json,教師ラベルあり
将棋ウォーズ,一文字,一文字,通常,06,確定,tools\samples\screenshots_by_app_glyph\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_06.png,tools\samples\screenshots_by_app_piece_style\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_06.png,tools\samples\labels\boards_by_app_glyph\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_06.json,tools\samples\labels\boards_by_app_piece_style\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_06.json,教師ラベルあり
将棋ウォーズ,一文字,一文字,通常,07,確定,tools\samples\screenshots_by_app_glyph\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_07.png,tools\samples\screenshots_by_app_piece_style\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_07.png,tools\samples\labels\boards_by_app_glyph\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_07.json,tools\samples\labels\boards_by_app_piece_style\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_07.json,教師ラベルあり
将棋ウォーズ,一文字,一文字,通常,08,確定,tools\samples\screenshots_by_app_glyph\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_08.png,tools\samples\screenshots_by_app_piece_style\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_08.png,tools\samples\labels\boards_by_app_glyph\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_08.json,tools\samples\labels\boards_by_app_piece_style\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_08.json,教師ラベルあり
将棋ウォーズ,一文字,一文字,通常,09,確定,tools\samples\screenshots_by_app_glyph\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_09.png,tools\samples\screenshots_by_app_piece_style\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_09.png,tools\samples\labels\boards_by_app_glyph\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_09.json,tools\samples\labels\boards_by_app_piece_style\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_09.json,教師ラベルあり
将棋ウォーズ,一文字,一文字,通常,10,確定,tools\samples\screenshots_by_app_glyph\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_10.png,tools\samples\screenshots_by_app_piece_style\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_10.png,tools\samples\labels\boards_by_app_glyph\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_10.json,tools\samples\labels\boards_by_app_piece_style\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_10.json,教師ラベルあり
将棋ウォーズ,一文字,一文字,通常,11,確定,tools\samples\screenshots_by_app_glyph\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_11.png,tools\samples\screenshots_by_app_piece_style\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_11.png,tools\samples\labels\boards_by_app_glyph\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_11.json,tools\samples\labels\boards_by_app_piece_style\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_11.json,教師ラベルあり
将棋ウォーズ,一文字,一文字,通常,12,確定,tools\samples\screenshots_by_app_glyph\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_12.png,tools\samples\screenshots_by_app_piece_style\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_12.png,tools\samples\labels\boards_by_app_glyph\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_12.json,tools\samples\labels\boards_by_app_piece_style\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_12.json,教師ラベルあり
将棋ウォーズ,一文字,一文字,通常,13,確定,tools\samples\screenshots_by_app_glyph\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_13.png,tools\samples\screenshots_by_app_piece_style\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_13.png,tools\samples\labels\boards_by_app_glyph\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_13.json,tools\samples\labels\boards_by_app_piece_style\将棋ウォーズ\一文字\将棋ウォーズ_一文字_通常_13.json,教師ラベルあり
将棋ウォーズ,二文字,二文字,初期配置,01,確定,tools\samples\screenshots_by_app_glyph\将棋ウォーズ\二文字\将棋ウォーズ_二文字_初期配置_01.png,tools\samples\screenshots_by_app_piece_style\将棋ウォーズ\二文字\将棋ウォーズ_二文字_初期配置_01.png,,tools\samples\labels\boards_by_app_piece_style\将棋ウォーズ\二文字\将棋ウォーズ_二文字_初期配置_01.json,暗黙の初期配置
将棋ウォーズ,二文字,二文字,通常,01,確定,tools\samples\screenshots_by_app_glyph\将棋ウォーズ\二文字\将棋ウォーズ_二文字_通常_01.png,tools\samples\screenshots_by_app_piece_style\将棋ウォーズ\二文字\将棋ウォーズ_二文字_通常_01.png,tools\samples\labels\boards_by_app_glyph\将棋ウォーズ\二文字\将棋ウォーズ_二文字_通常_01.json,tools\samples\labels\boards_by_app_piece_style\将棋ウォーズ\二文字\将棋ウォーズ_二文字_通常_01.json,教師ラベルあり
将棋ウォーズ,二文字,二文字,通常,02,確定,tools\samples\screenshots_by_app_glyph\将棋ウォーズ\二文字\将棋ウォーズ_二文字_通常_02.png,tools\samples\screenshots_by_app_piece_style\将棋ウォーズ\二文字\将棋ウォーズ_二文字_通常_02.png,tools\samples\labels\boards_by_app_glyph\将棋ウォーズ\二文字\将棋ウォーズ_二文字_通常_02.json,tools\samples\labels\boards_by_app_piece_style\将棋ウォーズ\二文字\将棋ウォーズ_二文字_通常_02.json,教師ラベルあり
将棋ウォーズ,二文字,二文字,通常,03,確定,tools\samples\screenshots_by_app_glyph\将棋ウォーズ\二文字\将棋ウォーズ_二文字_通常_03.png,tools\samples\screenshots_by_app_piece_style\将棋ウォーズ\二文字\将棋ウォーズ_二文字_通常_03.png,tools\samples\labels\boards_by_app_glyph\将棋ウォーズ\二文字\将棋ウォーズ_二文字_通常_03.json,tools\samples\labels\boards_by_app_piece_style\将棋ウォーズ\二文字\将棋ウォーズ_二文字_通常_03.json,教師ラベルあり
将棋ウォーズ,二文字,二文字,通常,04,確定,tools\samples\screenshots_by_app_glyph\将棋ウォーズ\二文字\将棋ウォーズ_二文字_通常_04.png,tools\samples\screenshots_by_app_piece_style\将棋ウォーズ\二文字\将棋ウォーズ_二文字_通常_04.png,tools\samples\labels\boards_by_app_glyph\将棋ウォーズ\二文字\将棋ウォーズ_二文字_通常_04.json,tools\samples\labels\boards_by_app_piece_style\将棋ウォーズ\二文字\将棋ウォーズ_二文字_通常_04.json,教師ラベルあり
将棋ウォーズ,二文字,二文字,通常,05,確定,tools\samples\screenshots_by_app_glyph\将棋ウォーズ\二文字\将棋ウォーズ_二文字_通常_05.png,tools\samples\screenshots_by_app_piece_style\将棋ウォーズ\二文字\将棋ウォーズ_二文字_通常_05.png,tools\samples\labels\boards_by_app_glyph\将棋ウォーズ\二文字\将棋ウォーズ_二文字_通常_05.json,tools\samples\labels\boards_by_app_piece_style\将棋ウォーズ\二文字\将棋ウォーズ_二文字_通常_05.json,教師ラベルあり
